wavelength,flux
6500.002275000001,16430358700.0
6500.0064999999995,16430228500.0
6500.010725,16430098300.0
6500.01495,16429968100.0
6500.019174999999,16429837900.0
6500.0234,16429707700.0
6500.027625000001,16429577500.000002
6500.03185,16429447300.0
6500.036075,16429317200.0
6500.0403,16429187000.0
6500.044524999999,16429056800.0
6500.04875,16428926600.0
6500.052975,16428796500.0
6500.057201,16428666300.000002
6500.061426,16428536100.0
6500.065651,16428405900.0
6500.069876,16428275800.0
6500.074101,16427981300.0
6500.078326000001,16427851100.0
6500.082551,16427721000.0
6500.086776,16427590800.0
6500.091001,16427460700.0
6500.0952259999995,16427330500.0
6500.0994519999995,16427200300.0
6500.103676999999,16427070200.0
6500.107902,16426940000.000002
6500.112127,16426809899.999998
6500.116352,16426679800.0
6500.120577,16426549600.0
6500.124802,16426419500.0
6500.129028,16426125000.0
6500.133253,16425994900.0
6500.137478000001,16425864800.0
6500.141703,16425734600.0
6500.145928,16425604500.0
6500.150154000001,16425474400.0
6500.1543790000005,16425344200.0
6500.158603999999,16425049800.0
6500.162829,16424919700.0
6500.167054,16424789600.0
6500.17128,16424659500.0
6500.175504999999,16424529400.0
6500.17973,16424399300.000002
6500.183955,16424104900.0
6500.18818,16423974800.0
6500.192406,16423844700.000002
6500.196631,16423714599.999998
6500.200856,16423584500.0
6500.205082,16423290100.0
6500.209307,16423160000.000002
6500.213532,16423029900.0
6500.217757,16422735500.0
6500.221983,16422605400.000002
6500.226208,16422475400.0
6500.230433000001,16422345300.0
6500.234659,16422050900.0
6500.238884,16421920800.0
6500.243109000001,16421626500.0
6500.247334,16421496400.0
6500.251560000001,16421366300.0
6500.255785,16421072000.000002
6500.26001,16420942000.0
6500.264236000001,16420652600.0
6500.268461,16420527400.0
6500.272685999999,16420238000.0
6500.276912,16420112899.999998
6500.281137,16419823500.0
6500.285363000001,16419698400.0
6500.289588000001,16419409000.0
6500.293812999999,16419119600.0
6500.298039,16418994500.0
6500.302264,16418705100.0
6500.306490000001,16418415700.0
6500.3107150000005,16418126400.0
6500.314939999999,16417837000.0
6500.319166,16417547700.0
6500.323391,16417258300.0
6500.327617000001,16416968999.999998
6500.3318420000005,16416679600.0
6500.336066999999,16416390300.000002
6500.340293,16416101000.0
6500.344518000001,16415811700.0
6500.348744000001,16415522300.0
6500.3529690000005,16415068799.999998
6500.3571950000005,16414779500.0
6500.36142,16414325900.0
6500.365646,16413872400.0
6500.369871000001,16413583100.0
6500.374097,16413129600.0
6500.3783220000005,16412676100.000002
6500.382548,16412222500.0
6500.386773,16411769000.0
6500.390999,16411151300.0
6500.395224,16410697800.0
6500.39945,16410080100.0
6500.403675,16409462399.999998
6500.407901,16408844700.0
6500.412126,16408227100.0
6500.416352,16407609400.0
6500.420577,16406827500.0
6500.424803,16406045700.0
6500.429028,16405263800.0
6500.433254,16404317799.999998
6500.437479,16403535900.0
6500.441704999999,16402425700.0
6500.445931,16401479699.999998
6500.450156000001,16400369500.0
6500.454382,16399259300.0
6500.4586070000005,16397984900.0
6500.4628330000005,16396710500.0
6500.4670590000005,16395272000.0
6500.471284,16393669300.0
6500.47551,16392066500.0
6500.479735,16390299700.0
6500.483961,16388368600.0
6500.488187,16386437599.999998
6500.492412,16384178200.0
6500.496638,16381754600.0
6500.500864000001,16379166900.0
6500.505088999999,16376415000.0
6500.509315,16373334799.999998
6500.513541,16369926300.0
6500.517766000001,16366397800.000002
6500.521992,16362604999.999998
6500.526218,16358319500.0
6500.530443,16353705800.0
6500.534669,16348435200.0
6500.538895,16342836300.000002
6500.54312,16336580600.0
6500.547345999999,16329504000.0
6500.551572,16321770700.0
6500.555798,16313216400.0
6500.560023,16303512800.0
6500.564249,16292660000.000002
6500.568475,16280657800.0
6500.572701,16267013700.0
6500.576926,16251563600.0
6500.581152,16234307500.0
6500.585378,16214588500.0
6500.589604000001,16192242600.0
6500.5938289999995,16166777200.0
6500.598055,16137699700.000002
6500.602281,16104517500.0
6500.606507,16066409800.000002
6500.610732,16022719800.0
6500.614958,15972462400.0
6500.619183999999,15914652500.0
6500.623409999999,15847976600.0
6500.627636,15770957000.000002
6500.631861000001,15682280400.0
